Species ID,Species Name,Continent
890,Bonasa umbellus,North America
3544,Columbina inca,North America
4208,Podiceps cristatus,Europe
4345,Larus occidentalis,North America
4665,Falco sparverius,North America
4765,Coragyps atratus,North America
4793,Charadrius vociferus,North America
7562,Troglodytes aedon,North America
7576,Thryomanes bewickii,North America
8277,Dicrurus macrocercus,Asia
8520,Nucifraga columbiana,North America
9081,Cardinalis sinuatus,North America
9083,Cardinalis cardinalis,North America
9152,Spizella pusilla,North America
9602,Quiscalus quiscula,North America
9639,Carpodacus erythrinus,Europe
9771,Pinicola enucleator,North America
10168,Pooecetes gramineus,North America
10243,Icteria virens,North America
10373,Molothrus ater,North America
11970,Stelgidopteryx serripennis,North America
12024,Lanius ludovicianus,North America
12038,Lanius collurio,Europe
12707,Turdus pilaris,Europe
12716,Turdus merula,Europe
12735,Turdus viscivorus,Europe
12781,Turdus fuscater,South America
13510,Sericornis frontalis,Oceania
13632,Baeolophus bicolor,North America
13851,Passer montanus,Europe
14069,Neochmia temporalis,Oceania
16079,Contopus sordidulus,North America
16782,Tyrannus tyrannus,North America
17009,Sayornis saya,North America
18204,Melanerpes erythrocephalus,North America
19765,Megascops asio,North America
19975,Athene cunicularia,South America
26159,Alligator mississippiensis,North America
27726,Salamandra salamandra,Europe
27818,Taricha torosa,North America
29310,Nerodia rhombifer,North America
31150,Agama atra,Africa
32055,Elgaria multicarinata,North America
36107,Urosaurus ornatus,North America
36315,Phrynosoma hernandesi,North America
41886,Crocuta crocuta,Africa
42220,Odocoileus hemionus,North America
42223,Odocoileus virginianus,North America
42888,Macropus giganteus,Oceania
43115,Sylvilagus audubonii,North America
43712,Dasyprocta punctata,North America
46217,Tamias striatus,North America
64970,Anaxyrus boreas,North America
144243,Picus viridis,Europe
144815,Poecile atricapillus,North America
145300,Acanthis flammea,Europe
145308,Spinus psaltria,North America
145310,Spinus tristis,North America
180008,Otospermophilus variegatus,North America
199841,Haemorhous purpureus,North America
204497,Cracticus torquatus,Oceania
343021,Anguis fragilis,Europe
472766,Falco tinnunculus,Europe
